SSID,Security
LCS07,4
LCS-Guest,None
2e771,None
Colemanrice,4
shephard_EXT,2
HP-Print-E7-Officejet Pro 8600,4
SpectrumSetup-47,4
q's network,4
LG_Speaker_SP8YA_0835.l057,None
FITZ,4
Spectrum Mobile,3
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,4
ORBI92,4
RudySS,4
shepherd,4
Linksys_5GHz,4
Old Trafford,4
Ritt's Network,4
Linksys_2.4GHz,4
ORBI92-Guest,4
Netgear 93,4
SpectrumSetup-00,4
Kutner Net,4
Rudy2022,4
DB Network-Guest,4
Ritt's Network_2.4GEXT,4
Bruno,4
ohana,4
LetsGoBrandon,4
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,4
Ritt's Network2,4
iPhone,4
Ritt's Network_2.4GEXT_EXT,4
yurk,4
Treehouse,4
StopBarkingLayla,4
BKosar19,2
AT_201_TLTU7CBP_68a8,4
